id,date,category,contributors,headline,url,trump,biden
h_0292c0b67f6c622604ad635239999c0f,12/13/2020,politics,Maeve Reston,Trump engages in self-sabotage ahead of historic vaccine rollout,https://www.cnn.com/2020/12/13/politics/donald-trump-william-barr-pfizer-vaccine/index.html,-0.669795,-0.70913
h_5be374dc2005dfbc5997cbf7e0d7cc0a,12/12/2020,politics,Kevin Liptak and Jamie Gangel,Trump raised firing Barr in White House meeting on Friday,https://www.cnn.com/2020/12/12/politics/william-barr-donald-trump-white-house-meeting/index.html,-0.596072,-0.490494
h_4ee64375f3dac07f45a73407e9ba11aa,12/11/2020,politics,Ariane de Vogue and Maegan Vazquez,Supreme Court rejects Texas\' and Trump\'s bid to overturn election,https://www.cnn.com/2020/12/11/politics/supreme-court-texas-trump-biden/index.html,-0.81739,-0.551309
h_c4ebf07afdb134a8cf4c8e1adc8649cf,12/12/2020,politics,Maeve Reston,Trump schemes next political moves after effort to overthrow democracy dead ends at Supreme Court,https://www.cnn.com/2020/12/12/politics/donald-trump-supreme-court-pfizer-vaccine/index.html,-0.60118,-0.663249
h_6761f8114720aa92d16ee0ee6f39592b,12/12/2020,politics,Dan Berman,Explaining the Supreme Court\'s ruling denying Trump and how Alito and Thomas didn\'t dissent,https://www.cnn.com/2020/12/12/politics/texas-pennsylvania-supreme-court-alito-thomas-explained/index.html,-0.72227,0
h_362e6ed66ef370b040ff4dfe82ced6d6,12/12/2020,politics,Harry Enten,Trump made big in-roads in Hispanic areas across the nation,https://www.cnn.com/2020/12/12/politics/trump-hispanic-vote/index.html,-0.609991,-0.348367
h_5a4f41c1d5f1448ee1525eb86cde7be0,12/12/2020,politics,Joan Biskupic,The Supreme Court\'s clear message to President Trump: Stop,https://www.cnn.com/2020/12/11/politics/trump-turmoil-supreme-court/index.html,-0.287543,-0.595172
h_c13aaad637f59ef6c0aaefb45867b3b9,12/12/2020,us,Lucy Kafanov and Theresa Waldrop,A grieving family in Trump country is fighting to prevent more Covid-19 deaths,https://www.cnn.com/2020/12/11/us/colorado-masks-may-bunjes/index.html,-0.783958,0
h_78bbc2481f73186306198d92adb616e5,12/12/2020,us,Christina Carrega,Two Black men have been executed within two days. Two more are set to die before Biden\'s inauguration,https://www.cnn.com/2020/12/12/us/brandon-bernard-alfred-bourgeois-executions/index.html,-0.786119,-0.8425
h_ffa17e596e1926a67eaa0f235b253282,12/10/2020,politics,Meg Wagner and Fernando Alfonso III and Veronica Rocha,The latest on Biden\'s transition,https://www.cnn.com/politics/live-news/biden-trump-us-election-news-12-11-20/index.html,-0.565752,-0.255747
h_6d240a897cf7c6ef2e078a3e8868e350,12/11/2020,politics,Manu Raju,Ron Johnson to bring Ken Starr to testify at controversial hearing on 2020 elections,https://www.cnn.com/2020/12/11/politics/ron-johnson-ken-starr-2020-election-hearing/index.html,-0.646454,-0.741922
