publishDate,category,headline,url,sentences
12/11/2020,OPINION,Hans von Spakovsky: Supreme Court ruling probably dooms Trump attempt to block Biden election as president,https://www.foxnews.com/opinion/supreme-court-trump-texas-lawsuit-hans-von-spakovsky,30
12/11/2020,Media,CNN\'s Cuomo cheers SCOTUS rejection of Texas case: \'Trumpers lost ... packing the court didn\'t beat justice\',https://www.foxnews.com/media/cnn-chris-cuomo-scotus-trumpers-lost-packing-the-court,22
12/11/2020,Supreme Court,Supreme Court declines to hear Trump-supported Texas case over election results in four other states,https://www.foxnews.com/politics/scotus-denied-election-texas-election-suit,63
12/11/2020,Media,Orlando Sentinel apologizes for endorsing GOP congressman after he backs Texas election lawsuit,https://www.foxnews.com/media/orlando-sentinel-apologizes-michael-waltz-endorsement,22
12/11/2020,Fox News Poll,Fox News Poll: Most Republicans say President Trump was robbed,https://www.foxnews.com/politics/republicans-president-trump-robbed-poll,11
12/11/2020,Joe Biden,Black Lives Matter accuses Biden of ignoring them: \'It\'s demeaning to our hurt and trauma\',https://www.foxnews.com/politics/black-lives-matter-biden-ignoring-demeaning,22
12/11/2020,Joe Biden,Joe Biden breaks silence on Hunter for first time since federal tax investigation surfaced,https://www.foxnews.com/politics/joe-biden-breaks-silence-hunter-for-first-time-since-federal-tax-investigation-surfaced,16
12/11/2020,Fox News Flash,Texas AG Paxton rips Pa. AG over lawsuit criticism: \'To call it seditious is really ridiculous\',https://www.foxnews.com/politics/texas-ken-paxton-supreme-court-election-lawsuit-pennsylvania-josh-shapiro,13
12/11/2020,2020 Presidential Election,LIVE UPDATES: Trump urges Supreme Court to rule in favor of legal challenge,https://www.foxnews.com/politics/live-updates-5-states-texas-lawsuit-stop-4-states-electoral-votes-12-11-2020,3
12/11/2020,Joe Biden,NY Post\'s Devine: Mainstream media suppressed Hunter Biden story until \'their man\' won election,https://www.foxnews.com/media/ny-post-devine-mainstream-media-suppressed-hunter-biden-story,14
12/11/2020,Media,From \'smear campaign\' to \'Russian disinformation;\' liberal media teamed up to dismiss Hunter Biden story,https://www.foxnews.com/media/hunter-biden-coverage-liberal-media-smear-campaign-russian-disinformation,55
